								PROMO

ESTOQUE	SKU BASE	CODIGO ASIN	SKU ANUNCIO	PRODUTO	PREÇO DE CUSTO	PREÇO DE VENDA	COMISSÃO AMZ	TARIFA FBA	IMPOSTO	CAIXA	EMBALGEM	FRETE	ADS	DEVOLUÇÕES	PARCELAMENTO	MARGEM	LUCRO LIQ
150	PCM001	B0GWG2HL56	PCM001	Kit 6 Porta Copos MDF 6mm c/ Suporte Budamix	R$ 1,04	R$ 29,90	R$ 3,59	R$ 5,00	R$ 2,09	R$ 0,97	R$ 0,50	R$ 0,00	R$ 5,98	R$ 1,20	R$ 0,00	32%	R$ 9,53
149	DPM001	B0GWS1151L	DPM001	Kit 4 Descanso Panela Modular Quebra-Cabeça MDF Budamix Redondo	R$ 2,39	R$ 29,90	R$ 3,59	R$ 5,00	R$ 2,09	R$ 1,20	R$ 0,50	R$ 0,00	R$ 5,98	R$ 1,20	R$ 0,00	27%	R$ 7,95
220	EMB01T	B0G61FJG5S	EMB01TT	Saco Plástico PP 78 Unidades (1kg) 40 x 70cm 	R$ 15,60	R$ 19,90	R$ 2,39	R$ 5,00	R$ 1,39	R$ 1,20	R$ 0,50	R$ 0,00	R$ 3,98	R$ 0,80	R$ 0,00	-55%	-R$ 10,96
267	RED01B	B0G3R9RTBM	RED01B	Redinha com furo 155 unidades (1Kg) 70 x 110cm	R$ 26,35	R$ 41,50	R$ 4,98	R$ 5,00	R$ 2,91	R$ 1,20	R$ 0,50	R$ 0,00	R$ 8,30	R$ 1,66	R$ 0,62	-24%	-R$ 10,02
0	CK4742_B	B0G2CWWMGK	CK4742_BB	Jarra Medidora Vidro 500ml, Clink	R$ 6,61	R$ 28,90	R$ 3,47	R$ 5,00	R$ 2,02	R$ 1,20	R$ 0,50	R$ 0,00	R$ 5,78	R$ 1,16	R$ 0,00	11%	R$ 3,16
0	CK4742_B	B0GQHJ9YCG	KIT2CK4742_B	Kit 2 Jarras Medidora Vidro 500ml, Clink	R$ 13,22	R$ 42,90	R$ 5,15	R$ 5,00	R$ 3,00	R$ 0,97	R$ 0,97	R$ 0,00	R$ 8,58	R$ 1,72	R$ 0,64	9%	R$ 3,65
150	DPM002	B0GX7RN9FS	DPM002	Kit 4 Descanso De Panela Modular Quadrado Quebra-Cabeça MDF	R$ 2,39	R$ 29,90	R$ 3,59	R$ 5,00	R$ 2,09	R$ 0,97	R$ 0,97	R$ 0,00	R$ 5,98	R$ 1,20		26%	R$ 7,71
	PRA03P			Prateleira lateral magnética de geladeira 3 peças	R$ 31,60		R$ 0,00	R$ 5,00	R$ 0,00	R$ 0,97	R$ 0,97	R$ 0,00	R$ 0,00	R$ 0,00		#DIV/0!	-R$ 38,54
	KIT12AL011__			Potes Presídio Retangular Transparente 3000ml Alimentos 12un(Transparente)	R$ 50,76		R$ 0,00	R$ 5,00	R$ 0,00	R$ 0,97	R$ 0,97	R$ 0,00	R$ 0,00	R$ 0,00		#DIV/0!	-R$ 57,70
	213_BB			Queijeira Porta Queijo com Tampa Alumínio Poá Preta em Verniz Redar	R$ 12,60		R$ 0,00	R$ 5,00	R$ 0,00	R$ 0,97	R$ 0,97	R$ 0,00	R$ 0,00	R$ 0,00
	CK4818V_B			Jogo de Tapete 3 peças Banheiro Antiderrapante Super Soft Macio(Rosa)	R$ 11,40		R$ 0,00	R$ 5,00	R$ 0,00	R$ 0,97	R$ 0,97	R$ 0,00	R$ 0,00	R$ 0,00
	403_B			Canequinha Mini c/ Coador de Pano para Café Caneca Suporte(Vermelho)	R$ 7,50		R$ 0,00	R$ 5,00	R$ 0,00	R$ 0,97	R$ 0,97	R$ 0,00	R$ 0,00	R$ 0,00
	KIT24FIT100M			Kit 24 Fita Adesiva 45mm X 100 Metros Rolos Transparente	R$ 70,80		R$ 0,00	R$ 5,00	R$ 0,00	R$ 0,97	R$ 0,97	R$ 0,00	R$ 0,00	R$ 0,00








																	R$ 0,00
																	R$ 0,00
																	R$ 0,00
																	R$ 0,00
																	R$ 0,00
																	R$ 0,00
																	R$ 0,00
																	R$ 0,00
																	R$ 0,00
																	R$ 0,00
																	R$ 0,00
																	R$ 0,00
																	R$ 0,00
																	R$ 0,00
																	R$ 0,00
																	R$ 0,00
																	R$ 0,00
																	R$ 0,00
																	R$ 0,00
																	R$ 0,00
																	R$ 0,00
																	R$ 0,00
																	R$ 0,00
																	R$ 0,00
																	R$ 0,00
																	R$ 0,00
																	R$ 0,00
																	R$ 0,00
